method	signature	classification
generation	[[nodiscard]] uint64_t generation() const noexcept	internal continuation/control
valid	[[nodiscard]] bool valid() const noexcept	internal continuation/control
void	using StateChangeCallback = std::function<void( const State &previous, const State &current )>	internal continuation/control
void	using TransactionCompletionCallback = std::function<void( TransactionCompletion )>	internal continuation/control
New	static std::shared_ptr<TransactionManager> New( std::shared_ptr<crdt::GlobalDB> processing_db, std::shared_ptr<boost::asio::io_context> ctx, std::shared_ptr<GeniusAccount> account, std::shared_ptr<Blockchain> blockchain, bool full_node = false, uint16_t subnet_id = 0, std::chrono::milliseconds timestamp_tolerance = std::chrono::milliseconds( 300000 ), std::chrono::milliseconds mutability_window = std::chrono::milliseconds( 0 ), uint64_t initial_burn_basis_points = BURN_BASIS_POINTS_DEFAULT, std::shared_ptr<const sgns::account::ConfirmedBurnValueProvider> confirmed_burn_provider = nullptr )	static utility
TryAdmit	outcome::result<AdmittedOperation> TryAdmit()	internal continuation/control
CloseAdmission	void CloseAdmission()	internal continuation/control
GetRetirementSnapshot	RetirementSnapshot GetRetirementSnapshot() const	retired-safe snapshot read
GetLifecycle	[[nodiscard]] ManagerLifecycle GetLifecycle() const	active-only read
Start	void Start()	internal continuation/control
RegisterTopicNames	void RegisterTopicNames()	internal continuation/control
StartListeningTopics	void StartListeningTopics()	internal continuation/control
StartCore	void StartCore()	internal continuation/control
GetOutTransactions	std::vector<std::vector<uint8_t>> GetOutTransactions() const	active-only read
GetInTransactions	std::vector<std::vector<uint8_t>> GetInTransactions() const	active-only read
CountTransactions	size_t CountTransactions( std::optional<TransactionStatus> tx_status = std::nullopt ) const	active-only read
TransferFunds	outcome::result<std::string> TransferFunds( uint64_t amount, std::string destination, TokenID token_id )	external mutation
MintFunds	outcome::result<std::string> MintFunds( uint64_t amount, std::string transaction_hash, std::string chainid, TokenID tokenid, std::string destination )	external mutation
MigrationFunds	outcome::result<std::string> MigrationFunds( uint64_t amount, std::string from_version, TokenID tokenid, std::string destination = )	external mutation
HoldEscrow	outcome::result<std::pair<std::string, EscrowDataPair>> HoldEscrow( uint64_t amount, const std::string &dev_addr, uint64_t peers_cut, const std::string &job_id )	external mutation
PayEscrow	outcome::result<std::string> PayEscrow( const std::string &escrow_path, const SGProcessing::TaskResult &task_result, std::shared_ptr<crdt::AtomicTransaction> crdt_transaction )	external mutation
AsyncPayEscrow	void AsyncPayEscrow( std::string escrow_path, SGProcessing::TaskResult task_result, std::shared_ptr<crdt::AtomicTransaction> crdt_transaction, std::chrono::milliseconds timeout, TransactionCompletionCallback callback )	external mutation
AsyncWaitForTransactionOutgoing	void AsyncWaitForTransactionOutgoing( std::string tx_id, std::chrono::milliseconds timeout, TransactionCompletionCallback callback )	internal continuation/control
WaitForTransactionIncoming	TransactionStatus WaitForTransactionIncoming( const std::string &txId, std::chrono::milliseconds timeout ) const	active-only read
WaitForTransactionOutgoing	TransactionStatus WaitForTransactionOutgoing( const std::string &txId, std::chrono::milliseconds timeout ) const	active-only read
WaitForEscrowRelease	TransactionStatus WaitForEscrowRelease( const std::string &originalEscrowId, std::chrono::milliseconds timeout ) const	active-only read
GetTransactionPath	static std::string GetTransactionPath( uint16_t base, const std::string &tx_hash )	static utility
GetTransactionPath	static std::string GetTransactionPath( const GeniusTransaction &element )	static utility
GetTransactionPath	static std::string GetTransactionPath( const std::string &tx_hash )	static utility
GetTransactionProofPath	static std::string GetTransactionProofPath( const GeniusTransaction &element )	static utility
FetchTransaction	static outcome::result<std::shared_ptr<GeniusTransaction>> FetchTransaction( crdt::GlobalDB &db, std::string_view transaction_key )	static utility
DeSerializeTransaction	static outcome::result<std::shared_ptr<GeniusTransaction>> DeSerializeTransaction( const base::Buffer &tx_data )	static utility
GetState	State GetState() const	active-only read
GetTransactionStatusByTxId	TransactionStatus GetTransactionStatusByTxId( const std::string &txId ) const	active-only read
GetOutgoingStatusByTxId	TransactionStatus GetOutgoingStatusByTxId( const std::string &txId ) const	active-only read
GetConflictingTransaction	outcome::result<std::shared_ptr<GeniusTransaction>> GetConflictingTransaction( const GeniusTransaction &element ) const	active-only read
Stop	void Stop()	internal continuation/control
RegisterStateChangeCallback	void RegisterStateChangeCallback( StateChangeCallback callback )	internal continuation/control
UnregisterStateChangeCallback	void UnregisterStateChangeCallback()	internal continuation/control
StateToString	static std::string StateToString( State state )	static utility
GetBlockChainBase	static std::string GetBlockChainBase( uint16_t network_id )	static utility
GetBlockChainBase	static std::string GetBlockChainBase()	static utility
QueryTransactions	void QueryTransactions()	internal continuation/control
FetchAndProcessTransaction	outcome::result<void> FetchAndProcessTransaction( const std::string &tx_key, std::optional<base::Buffer> tx_data = std::nullopt )	internal continuation/control
DeSerializeTransaction	static outcome::result<std::shared_ptr<GeniusTransaction>> DeSerializeTransaction( std::string tx_data )	static utility
DeSerializeEmbeddedTransaction	static outcome::result<std::shared_ptr<GeniusTransaction>> DeSerializeEmbeddedTransaction( const EmbeddedTransaction &embedded )	static utility
