method	expression	contract	identity_kind	source	targets	owner_plan	disposition
ConfigureRpcEndpoint	declaration:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	src/account/GeniusNode.hpp	genius_node_test	14-06	migrated
ConfigureRpcEndpoint	src/account/GeniusNode.cpp:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	src/account/GeniusNode.cpp	genius_node;genius_node_test	14-06	migrated
ConfigureRpcEndpoint	test/src/bridge_e2e/bridge_anvil_catchup_e2e_test.cpp:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	test/src/bridge_e2e/bridge_anvil_catchup_e2e_test.cpp	bridge_anvil_catchup_e2e_test	14-07	migrate
ConfigureRpcEndpoint	test/src/bridge_e2e/bridge_anvil_e2e_test.cpp:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	test/src/bridge_e2e/bridge_anvil_e2e_test.cpp	bridge_anvil_e2e_test	14-07	migrate
ConfigureRpcEndpoint	test/src/bridge_e2e/bridge_e2e_test.cpp:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	test/src/bridge_e2e/bridge_e2e_test.cpp	bridge_e2e_test	14-07	migrate
ConfigureRpcEndpoint	test/src/bridge_e2e/bridge_rlpx_e2e_test.cpp:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	test/src/bridge_e2e/bridge_rlpx_e2e_test.cpp	bridge_rlpx_e2e_test	14-07	migrate
ConfigureRpcEndpoint	test/src/bridge_e2e/bridge_sepolia_e2e_test.cpp:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	test/src/bridge_e2e/bridge_sepolia_e2e_test.cpp	bridge_sepolia_e2e_test	14-07	migrate
ConfigureRpcEndpoint	test/src/bridge_race/bridge_race_batch_test.cpp:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	test/src/bridge_race/bridge_race_batch_test.cpp	bridge_race_batch_test	14-11	migrate
ConfigureRpcEndpoint	test/src/bridge_race/bridge_race_fault_kill_test.cpp:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	test/src/bridge_race/bridge_race_fault_kill_test.cpp	bridge_race_fault_kill_test	14-11	migrate
ConfigureRpcEndpoint	test/src/bridge_race/bridge_race_fault_partition_test.cpp:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	test/src/bridge_race/bridge_race_fault_partition_test.cpp	bridge_race_fault_partition_test	14-11	migrate
ConfigureRpcEndpoint	test/src/bridge_race/bridge_race_fault_rpc_test.cpp:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	test/src/bridge_race/bridge_race_fault_rpc_test.cpp	bridge_race_fault_rpc_test	14-11	migrate
ConfigureRpcEndpoint	test/src/bridge_race/bridge_race_single_burn_test.cpp:ConfigureRpcEndpoint	configured-bootstrap	configured-bootstrap	test/src/bridge_race/bridge_race_single_burn_test.cpp	bridge_race_single_burn_test	14-11	migrate
CountTransactions	declaration:CountTransactions	active-ready	active-generation	src/account/GeniusNode.hpp	genius_node_test	14-06	migrated
CountTransactions	src/account/GeniusNode.cpp:CountTransactions	active-ready	active-generation	src/account/GeniusNode.cpp	genius_node;genius_node_test	14-06	migrated
CountTransactions	test/src/account/burnconfig_policy_e2e_test.cpp:CountTransactions	active-ready	active-generation	test/src/account/burnconfig_policy_e2e_test.cpp	burnconfig_policy_e2e_test	14-07	migrate
CountTransactions	test/src/multiaccount/multi_account_sync.cpp:CountTransactions	active-ready	active-generation	test/src/multiaccount/multi_account_sync.cpp	multi_account_test	14-09	migrated
CountTransactions	test/src/processing_nodes/processing_nodes_test.cpp:CountTransactions	active-ready	active-generation	test/src/processing_nodes/processing_nodes_test.cpp	processing_nodes_test	14-08	migrated
DeleteAccount	declaration:DeleteAccount	lifecycle-selection	active-generation	src/account/GeniusNode.hpp	genius_node_test	14-06	migrated
DeleteAccount	src/account/GeniusNode.cpp:DeleteAccount	lifecycle-selection	active-generation	src/account/GeniusNode.cpp	genius_node;genius_node_test	14-06	migrated
DeleteAccount	test/src/account/account_management_test.cpp:DeleteAccount	lifecycle-selection	active-generation	test/src/account/account_management_test.cpp	account_management_test	14-07	migrated
GetAddress	declaration:GetAddress	active-ready	active-generation	src/account/GeniusNode.hpp	genius_node_test	14-06	migrated
